Age;Inches;Weight;GP;MIN;REB;OREB;DREB;BLK;PF;PFD;DIST_MILES;DIST_MILES_OFF;DIST_MILES_DEF;AVG_SPEED;AVG_SPEED_OFF;AVG_SPEED_DEF;CONTESTED_SHOTS;CONTESTED_SHOTS_2PT;CONTESTED_SHOTS_3PT;BOX_OUTS;OFF_BOXOUTS;DEF_BOXOUTS;DEFLECTIONS;CHARGES_DRAWN;target
24;84;260;22;7.4;1.6;0.4;1.3;0.6;1.0;0.6;0.49;0.25;0.23;3.94;4.16;3.72;2.36;2.0;0.36;0.0;0.0;0.0;0.23;0.0;1
32;72;161;65;13.7;1.1;0.3;0.8;0.1;1.4;0.8;0.94;0.51;0.43;4.14;4.35;3.92;3.11;1.55;1.55;0.0;0.0;0.0;0.77;0.12;1
21;81;220;80;28.7;5.1;1.5;3.6;0.5;2.2;2.1;2.13;1.14;0.99;4.45;4.85;4.06;6.18;3.96;2.21;0.0;0.0;0.0;1.41;0.06;1
22;78;210;5;3.3;0.6;0.0;0.6;0.0;0.4;0.2;0.22;0.12;0.1;3.98;4.19;3.75;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1
26;82;237;18;7.5;1.8;0.5;1.3;0.4;1.8;0.7;0.54;0.29;0.25;4.32;4.65;3.9;2.44;1.33;1.11;0.0;0.0;0.0;0.61;0.0;1
31;82;245;68;32.3;6.8;1.4;5.4;1.3;2.0;1.8;2.14;1.12;1.02;3.99;4.2;3.77;13.0;9.37;3.63;0.0;0.0;0.0;1.44;0.0;1
32;82;289;66;14.1;4.2;1.1;3.1;0.2;1.9;1.1;0.93;0.49;0.44;3.93;3.97;3.89;4.24;3.71;0.53;0.0;0.0;0.0;0.62;0.14;1
26;81;220;61;29.1;7.4;1.3;6.1;0.7;1.7;1.9;2.03;1.11;0.93;4.21;4.53;3.88;9.75;6.87;2.89;0.0;0.0;0.0;1.74;0.02;1
34;78;220;30;10.3;0.8;0.1;0.7;0.0;1.2;0.6;0.7;0.35;0.35;4.12;3.99;4.25;1.7;0.53;1.17;0.0;0.0;0.0;0.3;0.0;1
24;80;260;47;15.1;6.2;2.0;4.2;0.7;2.7;2.1;1.04;0.54;0.51;4.21;4.55;3.89;6.6;5.68;0.91;0.0;0.0;0.0;0.96;0.0;0
25;78;214;42;15.5;2.9;0.4;2.5;0.1;1.2;1.4;1.09;0.58;0.51;4.22;4.33;4.07;2.98;1.57;1.4;0.0;0.0;0.0;0.76;0.0;1
23;78;190;68;15.5;1.3;0.3;1.0;0.1;1.7;0.8;1.12;0.6;0.53;4.38;4.7;4.07;3.59;2.22;1.37;0.0;0.0;0.0;0.88;0.01;0
24;85;260;77;20.3;6.6;2.0;4.6;1.3;3.1;2.0;1.41;0.75;0.67;4.17;4.54;3.83;10.51;9.17;1.34;0.0;0.0;0.0;0.86;0.0;1
23;79;238;6;26.1;4.8;1.8;3.0;0.3;2.3;1.3;2.01;1.09;0.91;4.59;5.11;4.16;5.83;3.17;2.67;0.0;0.0;0.0;1.67;0.0;0
29;86;248;39;15.0;4.5;1.2;3.4;0.6;2.0;1.2;1.04;0.55;0.49;4.2;4.62;3.8;5.95;4.95;1.0;0.0;0.0;0.0;1.18;0.03;0
25;78;215;79;28.5;2.9;0.2;2.6;0.3;2.2;1.2;2.06;1.14;0.92;4.35;4.76;3.94;4.73;2.71;2.03;0.0;0.0;0.0;1.42;0.0;1
30;78;225;13;6.9;1.2;0.3;0.8;0.1;1.1;0.5;0.5;0.25;0.24;4.36;4.35;4.37;1.54;0.85;0.69;0.0;0.0;0.0;0.62;0.0;1
30;81;240;80;20.1;4.6;1.5;3.1;0.8;2.6;1.4;1.34;0.69;0.66;4.02;4.2;3.84;7.53;6.58;0.95;0.0;0.0;0.0;1.31;0.06;0
34;83;273;14;6.6;1.9;0.9;1.1;0.2;1.1;0.7;0.51;0.27;0.24;4.64;4.89;4.39;2.79;2.07;0.71;0.0;0.0;0.0;0.43;0.0;1
23;83;279;81;29.7;13.8;4.3;9.5;1.1;2.9;3.6;2.01;1.02;0.99;4.07;4.15;3.99;9.19;7.69;1.49;0.0;0.0;0.0;2.85;0.02;1
33;78;215;76;26.3;4.0;0.7;3.3;0.5;1.3;1.3;1.84;0.96;0.89;4.21;4.63;3.84;5.08;2.97;2.11;0.0;0.0;0.0;2.16;0.03;1
25;79;210;79;30.1;5.1;1.2;3.9;1.0;2.6;1.2;2.23;1.12;1.11;4.46;4.73;4.22;9.94;6.96;2.97;0.0;0.0;0.0;2.48;0.0;1
32;84;260;27;21.6;8.1;2.1;6.0;0.9;3.2;1.0;1.38;0.75;0.62;3.84;3.92;3.75;6.07;5.63;0.44;0.0;0.0;0.0;1.11;0.48;1
22;78;213;72;20.5;1.9;0.3;1.6;0.3;2.7;2.2;1.35;0.74;0.61;3.95;4.14;3.75;4.92;2.51;2.4;0.0;0.0;0.0;1.51;0.1;0
27;81;250;38;9.0;1.6;0.4;1.2;0.2;1.4;0.4;0.61;0.33;0.28;4.08;4.37;3.79;3.16;2.37;0.79;0.0;0.0;0.0;0.55;0.0;0
22;80;199;82;37.2;4.0;1.2;2.8;0.4;2.2;4.8;2.47;1.34;1.13;3.98;4.23;3.73;9.26;4.43;4.83;0.0;0.0;0.0;1.67;0.0;0
24;80;235;23;11.5;3.4;1.1;2.3;0.1;0.8;1.1;0.8;0.43;0.37;4.33;4.89;3.82;4.0;2.43;1.57;0.0;0.0;0.0;0.39;0.0;1
24;79;211;11;14.5;3.0;0.7;2.3;0.1;1.4;0.1;1.05;0.54;0.51;4.38;4.7;4.09;3.27;1.45;1.82;0.0;0.0;0.0;0.82;0.0;1
24;83;253;75;36.1;11.8;2.3;9.5;2.2;2.2;6.9;2.38;1.24;1.15;3.96;4.33;3.64;13.48;9.89;3.59;0.0;0.0;0.0;2.36;0.12;1
31;77;210;49;14.6;0.6;0.2;0.4;0.0;0.9;0.9;0.97;0.5;0.47;4.01;4.24;3.78;1.78;0.84;0.94;0.0;0.0;0.0;0.88;0.0;0
32;80;240;65;22.7;3.6;0.8;2.9;0.3;1.7;1.2;1.63;0.9;0.73;4.3;4.62;3.98;5.82;3.74;2.08;0.0;0.0;0.0;1.09;0.2;1
22;77;205;15;14.3;1.9;0.5;1.4;0.3;0.5;2.1;1.07;0.54;0.53;4.52;4.61;4.44;4.0;2.13;1.87;0.0;0.0;0.0;0.87;0.0;0
29;81;255;8;3.5;0.8;0.3;0.5;0.1;0.4;0.1;0.22;0.11;0.11;3.6;4.05;3.61;0.63;0.63;0.0;0.0;0.0;0.0;0.38;0.0;0
30;82;260;75;15.5;4.4;1.5;3.0;0.5;2.2;1.7;1.04;0.53;0.51;4.05;4.13;3.96;6.12;5.31;0.81;0.0;0.0;0.0;0.43;0.17;0
31;77;210;61;25.9;2.0;0.1;1.9;0.1;1.7;1.4;1.76;0.97;0.79;4.09;4.29;3.88;4.85;2.41;2.44;0.0;0.0;0.0;0.56;0.0;1
24;76;200;74;27.8;2.2;0.3;1.9;0.1;2.5;2.2;1.93;1.03;0.9;4.18;4.37;3.98;4.73;3.09;1.64;0.0;0.0;0.0;1.49;0.03;1
26;74;180;55;33.4;6.1;1.2;4.9;0.2;2.6;1.3;2.39;1.23;1.16;4.3;4.47;4.14;5.51;2.96;2.55;0.0;0.0;0.0;2.69;0.0;1
24;79;210;4;11.9;0.3;0.0;0.3;0.3;1.5;0.5;0.92;0.46;0.45;4.68;4.89;4.27;1.5;0.25;1.25;0.0;0.0;0.0;1.5;0.0;0
22;81;235;3;3.3;0.7;0.0;0.7;0.0;0.3;0.3;0.24;0.13;0.11;4.26;4.49;3.98;1.0;0.67;0.33;0.0;0.0;0.0;0.0;0.0;0
24;77;195;61;19.3;2.1;0.3;1.8;0.1;1.8;1.4;1.44;0.78;0.66;4.5;4.75;4.24;3.93;1.89;2.05;0.0;0.0;0.0;1.26;0.05;1
34;75;205;39;14.4;1.5;0.2;1.3;0.0;0.7;0.9;1.06;0.61;0.45;4.44;5.08;3.8;2.79;1.54;1.26;0.0;0.0;0.0;0.82;0.03;0
24;81;255;81;22.1;7.0;1.9;5.1;1.1;2.5;2.5;1.53;0.8;0.72;4.15;4.34;3.96;8.8;7.44;1.36;0.0;0.0;0.0;0.65;0.0;0
28;82;251;61;34.0;8.1;1.8;6.3;0.4;2.6;6.0;2.16;1.14;1.02;3.81;4.0;3.62;8.28;5.28;3.0;0.0;0.0;0.0;1.74;0.15;1
28;87;290;35;8.4;3.7;1.3;2.4;0.3;0.7;1.5;0.55;0.29;0.26;3.96;4.1;3.83;3.11;2.86;0.26;0.0;0.0;0.0;0.34;0.0;1
32;74;175;25;4.9;0.2;0.0;0.2;0.0;0.2;0.1;0.32;0.17;0.15;3.96;4.22;3.69;0.68;0.16;0.52;0.0;0.0;0.0;0.08;0.04;1
22;83;246;64;15.6;4.6;1.2;3.5;0.2;1.5;0.7;1.15;0.62;0.53;4.43;4.74;4.12;5.38;3.16;2.22;0.0;0.0;0.0;0.61;0.0;0
28;80;225;81;25.7;3.4;0.5;3.0;0.1;1.8;2.1;1.86;0.99;0.86;4.33;4.72;3.96;6.42;3.51;2.91;0.0;0.0;0.0;0.84;0.01;0
35;80;250;73;17.6;2.2;0.6;1.5;0.1;1.1;0.8;1.2;0.67;0.53;4.09;4.38;3.78;4.19;2.93;1.26;0.0;0.0;0.0;0.53;0.0;1
24;77;207;77;34.9;3.1;0.7;2.4;0.3;2.2;3.7;2.43;1.28;1.15;4.19;4.54;3.86;7.95;3.55;4.4;0.0;0.0;0.0;2.49;0.08;1
29;82;210;28;16.0;2.8;1.1;1.7;0.7;1.5;1.3;1.05;0.56;0.49;3.96;4.0;3.9;5.79;4.5;1.29;0.0;0.0;0.0;0.86;0.0;1
32;80;250;52;11.1;2.5;0.8;1.7;0.2;0.9;1.3;0.79;0.43;0.36;4.26;4.43;4.08;2.98;2.12;0.87;0.0;0.0;0.0;0.58;0.0;1
19;81;190;79;28.9;4.0;0.8;3.2;0.5;2.0;2.4;2.09;1.13;0.96;4.36;4.73;3.99;7.04;4.0;3.04;0.0;0.0;0.0;1.19;0.03;0
